,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,Day_Perc_Change,Trend
269,PNB,EQ,2018-06-12,91.6,91.4,92.7,90.65,91.85,91.75,91.73,21847334,2004157630.7,56820,1927454,8.82,June,2018,0.0016375545851528006,Slight or No change
270,PNB,EQ,2018-06-13,91.75,92.15,93.2,90.9,91.25,91.3,92.12,19488548,1795212683.9,54465,2026382,10.4,June,2018,-0.004904632152588628,Slight or No change
271,PNB,EQ,2018-06-14,91.3,91.0,92.3,89.3,92.25,91.7,90.65,19136052,1734705051.45,56484,1819620,9.51,June,2018,0.004381161007667167,Slight or No change
272,PNB,EQ,2018-06-15,91.7,92.1,93.15,89.6,89.75,89.85,91.17,21610044,1970181188.9,63617,2523419,11.68,June,2018,-0.02017448200654315,Slight or No change
273,PNB,EQ,2018-06-18,89.85,89.5,90.65,88.2,88.3,88.5,88.95,12204751,1085653669.0,36059,1344134,11.01,June,2018,-0.015025041736226985,Slight or No change
274,PNB,EQ,2018-06-19,88.5,88.3,89.65,86.45,86.75,86.8,87.88,16686961,1466409926.0,44050,1741280,10.43,June,2018,-0.019209039548022666,Slight or No change
275,PNB,EQ,2018-06-20,86.8,86.8,87.6,85.7,85.75,86.2,86.59,15014284,1300069542.95,38996,1320528,8.8,June,2018,-0.006912442396313279,Slight or No change
276,PNB,EQ,2018-06-21,86.2,86.25,86.55,83.2,83.35,83.4,84.26,17947960,1512304585.35,47383,3002331,16.73,June,2018,-0.0324825986078886,Slight or No change
277,PNB,EQ,2018-06-22,83.4,83.4,83.7,81.6,81.85,81.9,82.19,26172821,2151135308.55,55917,8342204,31.87,June,2018,-0.017985611510791366,Slight or No change
278,PNB,EQ,2018-06-25,81.9,81.9,82.4,79.5,79.65,79.8,80.94,18367654,1486644175.3,44687,3194122,17.39,June,2018,-0.025641025641025772,Slight or No change
279,PNB,EQ,2018-06-26,79.8,79.5,81.15,78.85,79.6,79.85,79.96,24559936,1963776963.85,56365,4574708,18.63,June,2018,0.0006265664160400863,Slight or No change
280,PNB,EQ,2018-06-27,79.85,79.85,80.25,75.25,76.55,76.75,77.21,23005577,1776353859.1,62311,3857346,16.77,June,2018,-0.038822792736380674,Slight or No change
281,PNB,EQ,2018-06-28,76.75,76.75,78.5,71.65,72.9,72.8,75.12,48215340,3622174075.6,90382,18732216,38.85,June,2018,-0.051465798045602695,Slight or No change
282,PNB,EQ,2018-06-29,72.8,73.55,76.35,73.55,76.15,76.15,75.56,30436895,2299743780.0,74429,5782037,19.0,June,2018,0.046016483516483575,Slight or No change
283,PNB,EQ,2018-07-02,76.15,76.8,79.75,74.4,77.95,78.15,76.85,27653723,2125148608.15,81283,2462208,8.9,July,2018,0.02626395272488513,Slight or No change
284,PNB,EQ,2018-07-03,78.15,78.0,78.15,75.85,76.8,77.15,77.0,20767258,1599086426.05,60040,2285137,11.0,July,2018,-0.012795905310300726,Slight or No change
285,PNB,EQ,2018-07-04,77.15,76.9,77.15,75.6,76.0,76.1,76.32,15453638,1179363781.35,36923,1748546,11.31,July,2018,-0.013609850939727997,Slight or No change
286,PNB,EQ,2018-07-05,76.1,76.05,78.0,75.15,75.25,75.55,76.46,20437925,1562760919.85,49861,1910423,9.35,July,2018,-0.007227332457293012,Slight or No change
287,PNB,EQ,2018-07-06,75.55,75.95,78.0,75.45,76.95,76.95,76.88,20777411,1597459480.75,47417,2286132,11.0,July,2018,0.018530774321641408,Slight or No change
288,PNB,EQ,2018-07-09,76.95,78.0,78.6,77.45,77.75,77.8,78.01,16419039,1280843434.85,37748,2763219,16.83,July,2018,0.011046133853151341,Slight or No change
289,PNB,EQ,2018-07-10,77.8,78.25,78.9,77.45,77.8,77.85,78.12,13975359,1091757205.55,31149,2002870,14.33,July,2018,0.0006426735218507673,Slight or No change
290,PNB,EQ,2018-07-11,77.85,78.0,78.2,75.35,75.55,75.55,76.56,15332841,1173911560.95,38910,3064369,19.99,July,2018,-0.029543994861913947,Slight or No change
291,PNB,EQ,2018-07-12,75.55,76.1,77.7,75.75,75.85,76.1,76.68,15854520,1215790053.15,41091,1795387,11.32,July,2018,0.007279947054930513,Slight or No change
292,PNB,EQ,2018-07-13,76.1,76.3,76.35,73.15,74.1,73.85,74.12,17764493,1316634259.55,45078,3125452,17.59,July,2018,-0.029566360052562413,Slight or No change
293,PNB,EQ,2018-07-16,73.85,75.2,75.4,73.5,73.65,73.85,74.23,19426203,1442063796.55,51911,2891302,14.88,July,2018,0.0,Slight or No change
294,PNB,EQ,2018-07-17,73.85,74.3,79.8,74.1,78.7,78.7,76.94,38586630,2968962009.0,89222,5913687,15.33,July,2018,0.06567366283006115,Slight or No change
295,PNB,EQ,2018-07-18,78.7,80.0,81.95,74.5,75.3,75.2,77.36,50685774,3921188375.85,130231,8737508,17.24,July,2018,-0.044472681067344366,Slight or No change
296,PNB,EQ,2018-07-19,75.2,75.55,76.9,74.2,75.3,75.3,75.74,22782507,1725614791.1,60179,1826412,8.02,July,2018,0.0013297872340425343,Slight or No change
297,PNB,EQ,2018-07-20,75.3,75.5,76.2,74.7,75.5,75.55,75.46,14332633,1081520762.8,38726,1171898,8.18,July,2018,0.0033200531208499307,Slight or No change
